BeeID,ColonyID,Treatment,w6/w3,EFA: FAT (%),Dry weight (mg),TFA in body (%),C18(2) % FA in TFA (W6),C18(3) % FA in TFA (W3),Season,EmergenceDate,PUFA balance
46,8,Unbalanced,3.459597353,14.5,51.4,0.936883569,11.24735554,3.251059124,Winter,03/10/2022,22.423549052
2,5,Balanced,0.47953775,20.75,30.3,1.783479674,6.725003818,14.02392995,Spring,05/09/2022,67.588677601
6,6,Unbalanced,3.969530089,12.28,30.8,1.011187146,9.805683221,2.470237787,Winter,12/09/2021,20.122626933
11,11,Pollen,0.479590439,18.07,70.1,0.634404538,5.856433494,12.21132244,Summer,08/14/2022,67.586270728
15,8,Unbalanced,3.084364387,15.88,68.3,0.750003583,11.99429119,3.888740007,Winter,03/10/2022,24.483613731
20,8,Unbalanced,0.921987713,15.9,40.1,1.106834207,7.629562336,8.275123659,Winter,03/10/2022,52.029468935
25,10,Unbalanced,0.409036105,16.85,48,0.852759883,4.892377905,11.96074831,Spring,05/26/2022,70.970502193
29,4,Balanced,0.738486772,16.42,57.3,0.82654777,6.973469697,9.442917545,Spring,04/07/2022,57.521288977
36,3,Balanced,0.979638497,16.36,51.6,0.908731844,8.094461755,8.262702802,Winter,02/17/2022,50.514273261
38,11,Pollen,0.480703033,19.86,34.8,1.356731414,6.446874934,13.41134648,Summer,08/14/2022,67.53548669
39,11,Pollen,0.832347628,18.19,35.3,1.191785316,8.26142006,9.925444345,Summer,08/14/2022,54.574797084
43,7,Unbalanced,2.816908665,15.66,32.6,1.331383349,11.55546314,4.102178847,Winter,01/27/2022,26.199212183
47,9,Unbalanced,0.799697801,18.81,57.4,0.773528921,8.360240224,10.45424936,Spring,04/18/2022,55.564884252
49,7,Unbalanced,2.876643833,14.8,58.8,0.793641325,10.98382577,3.818277967,Winter,01/27/2022,25.795508766
57,5,Balanced,0.481130007,18.46,33.7,1.356896492,5.996309277,12.46297091,Spring,05/09/2022,67.516017871
59,6,Unbalanced,2.635811695,19.64,75.3,0.66335598,14.24179683,5.403192061,Winter,12/09/2021,27.504174683
