Treatment,ColonyID,BeeID,Trial number,Time to finish (sec),Distance (cm),Number of visits feeders,Approach angle from center (degrees),"Center approach (1=center, 0=side)",TestingDate,EmergenceDate,AgeDays,AgeRelativeToColony
Balanced,1,1,1,53.3,1153.96,12,21.1757,1,2023-03-18,2023-02-09,37,-2
Balanced,1,1,2,27.9,500.801,4,2.84635,1,2023-03-18,2023-02-09,37,-2
Balanced,1,1,3,11,515.942,1,63.7276,0,2023-03-18,2023-02-09,37,-2
Balanced,1,1,4,5.93,212.66,2,4.60328,1,2023-03-18,2023-02-09,37,-2
Balanced,1,1,5,6.23,283.255,1,14.8082,1,2023-03-18,2023-02-09,37,-2
Balanced,1,1,6,8.23,370.898,2,10.5799,1,2023-03-18,2023-02-09,37,-2
Balanced,1,1,7,5.87,124.977,1,26.636,1,2023-03-18,2023-02-09,37,-2
Balanced,1,1,8,5.77,186.196,2,7.18016,1,2023-03-18,2023-02-09,37,-2
Balanced,1,2,1,19,509.32,5,66.1199,0,2023-03-20,2023-02-09,39,0
Balanced,1,2,2,20.3,781.34,8,42.4128,1,2023-03-20,2023-02-09,39,0
Balanced,1,2,3,20.8,597.096,7,12.5838,1,2023-03-20,2023-02-09,39,0
Balanced,1,2,4,13.3,422.31,6,65.0423,0,2023-03-20,2023-02-09,39,0
Balanced,1,2,5,5.97,189.101,1,8.68324,1,2023-03-20,2023-02-09,39,0
Balanced,1,2,6,6.4,131.73,1,2.35219,1,2023-03-20,2023-02-09,39,0
Balanced,1,2,7,3.97,153.334,1,7.28257,1,2023-03-20,2023-02-09,39,0
Balanced,1,2,8,6.57,122.74,1,63.869,0,2023-03-20,2023-02-09,39,0
Balanced,1,3,1,12,286.265,3,9.72093,1,2023-03-20,2023-02-09,39,0
Balanced,1,3,2,17.5,599.152,3,11.2948,1,2023-03-20,2023-02-09,39,0
Balanced,1,3,3,32.8,547.345,3,6.85547,1,2023-03-20,2023-02-09,39,0
Balanced,1,3,4,24,393.3,4,48.393,0,2023-03-20,2023-02-09,39,0
Balanced,1,3,5,24.1,1351.56,2,26.7775,1,2023-03-20,2023-02-09,39,0
Balanced,1,3,6,4.93,121.377,1,0.223632,1,2023-03-20,2023-02-09,39,0
Balanced,1,3,7,7.83,265.444,1,0.417933,1,2023-03-20,2023-02-09,39,0
Balanced,1,3,8,3.5,72.9842,1,4.69868,1,2023-03-20,2023-02-09,39,0
Balanced,1,4,1,103,1991.86,15,0.21323,1,2023-03-20,2023-02-09,39,0
Balanced,1,4,2,50.7,1711.72,19,9.64172,1,2023-03-20,2023-02-09,39,0
Balanced,1,4,3,29,1044.66,4,15.3608,1,2023-03-20,2023-02-09,39,0
Balanced,1,4,4,38.4,942.794,7,4.55435,1,2023-03-20,2023-02-09,39,0
Balanced,1,4,5,21.1,543.419,5,1.9146,1,2023-03-20,2023-02-09,39,0
Balanced,1,4,6,18.1,796.979,5,29.7855,1,2023-03-20,2023-02-09,39,0
Balanced,1,4,7,13.8,412.466,2,14.1227,1,2023-03-20,2023-02-09,39,0
Balanced,1,4,8,6.53,174.812,1,1.01813,1,2023-03-20,2023-02-09,39,0
Balanced,1,5,1,23.2,903.38,5,69.961,0,2023-03-21,2023-02-09,40,1
Balanced,1,5,2,19.6,594.879,4,14.6862,1,2023-03-21,2023-02-09,40,1
Balanced,1,5,3,30.3,1057.17,7,67.8446,0,2023-03-21,2023-02-09,40,1
Balanced,1,5,4,27.2,999.816,10,1.45363,1,2023-03-21,2023-02-09,40,1
Balanced,1,5,5,5.1,118.426,1,5.09228,1,2023-03-21,2023-02-09,40,1
Balanced,1,5,6,7.73,336.5,2,14.7893,1,2023-03-21,2023-02-09,40,1
Balanced,1,5,7,8.23,365.92,1,27.3699,1,2023-03-21,2023-02-09,40,1
Balanced,1,5,8,7.37,189.464,3,66.8014,0,2023-03-21,2023-02-09,40,1
Balanced,1,6,1,48.5,841.719,6,3.6574,1,2023-03-21,2023-02-09,40,1
Balanced,1,6,2,23.4,600.597,5,19.5797,1,2023-03-21,2023-02-09,40,1
Balanced,1,6,3,6.97,179.304,2,46.463,0,2023-03-21,2023-02-09,40,1
Balanced,1,6,4,12.8,598.261,2,18.2427,1,2023-03-21,2023-02-09,40,1
Balanced,1,6,5,13.2,418.696,3,39.5597,1,2023-03-21,2023-02-09,40,1
Balanced,1,6,6,19.6,587.498,5,14.9702,1,2023-03-21,2023-02-09,40,1
Balanced,1,6,7,11.6,500.625,2,61.5331,0,2023-03-21,2023-02-09,40,1
Balanced,1,6,8,6.13,158.701,2,52.2727,0,2023-03-21,2023-02-09,40,1
Balanced,2,7,1,15.6,309.519,3,53.9726,0,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,7,2,12.3,503.699,2,44.5576,0,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,7,3,8.2,178.8,1,12.6057,1,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,7,4,18.7,769.941,3,66.1853,0,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,7,5,4.93,115.04,1,43.3252,0,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,7,6,6.47,112.624,1,23.2618,1,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,7,7,11.6,256.549,1,7.51957,1,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,7,8,4.37,101.659,1,47.6496,0,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,8,1,20,742.923,3,2.01311,1,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,8,2,36.4,1730.14,4,8.51562,1,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,8,3,13.6,541.835,2,67.3552,0,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,8,4,17.7,548.807,3,40.3215,1,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,8,5,4.8,198.994,1,29.0859,1,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,8,6,11,339.13,2,1.81684,1,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,8,7,3.6,57.5767,1,12.9899,1,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,8,8,7.63,262.975,2,36.8388,1,2023-03-21,2023-02-15,34,-3.333333333
Balanced,2,9,1,31,935.53,6,22.433,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,9,2,30.7,934.214,8,41.6597,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,9,3,17.7,996.725,2,22.0398,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,9,4,7.4,342.633,2,11.8072,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,9,5,5.67,147.016,2,38.6842,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,9,6,5.5,167.125,2,66.4362,0,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,9,7,2.73,58.4795,1,1.56677,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,9,8,8.77,268.129,1,7.68603,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,10,1,27.4,687.402,3,20.6887,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,10,2,11.3,341.146,4,65.6235,0,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,10,3,13.3,244.025,3,82.5117,0,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,10,4,12,374.935,2,41.0038,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,10,5,3.43,92.3264,1,8.45891,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,10,6,6.47,291.024,1,35.7229,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,10,7,12.2,258.11,1,0.771066,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,10,8,2.93,64.5075,1,5.15234,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,11,1,48.4,1358.32,16,39.6406,1,2023-03-26,2023-02-15,39,1.6666666667
Balanced,2,11,2,32.9,648.294,9,44.4236,0,2023-03-26,2023-02-15,39,1.6666666667
