Treatment,ColonyID,TestingDate,BeeID,Trial number,Finish time (s),Total distance (cm),New or Used,Notes
OdorControl,OdorControl_Outdoors,11_08_2022,ColonyOutdoorsBee1,1,145.08,169.302597,,
OdorControl,OdorControl_Outdoors,11_08_2022,ColonyOutdoorsBee1,2,135.36,164.007538,,
OdorControl,OdorControl_Outdoors,11_08_2022,ColonyOutdoorsBee1,3,188.34,156.780293,,
OdorControl,OdorControl_Outdoors,11_08_2022,ColonyOutdoorsBee1,4,120.44,143.607397,,
OdorControl,OdorControl_Outdoors,11_08_2022,ColonyOutdoorsBee1,5,132.98,209.260222,,
OdorControl,OdorControl_Outdoors,11_08_2022,ColonyOutdoorsBee1,6,116.62,165.135616,,
OdorControl,OdorControl_Outdoors,11_08_2022,ColonyOutdoorsBee1,7,91.52,130.57376,,
OdorControl,OdorControl_Outdoors,11_08_2022,ColonyOutdoorsBee1,8,102.68,114.458547,New,
OdorControl,OdorControl_Outdoors,11_08_2022,ColonyOutdoorsBee1,9,85.08,154.177925,Used,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee2,1,138.44,218.320891,,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee2,2,105.14,172.091196,,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee2,3,167.22,266.825471,,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee2,4,93.5,185.766668,,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee2,5,95.74,126.464016,,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee2,6,100.46,171.476224,,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee2,7,124.34,282.077896,,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee2,8,117.28,240.566484,Used,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee2,9,141.54,224.777131,New,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee3,1,102.8,150.656865,,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee3,2,108,134.043812,,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee3,3,74.52,94.603389,,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee3,4,83.08,152.492752,,
OdorControl,OdorControl_Outdoors,14_08_2022,ColonyOutdoorsBee3,5,120.9,228.024078,,
