Treatment,ColonyID,TestingDate,BeeID,Trial number,Visit01,Visit02,Visit03,Visit04,Visit05,Visit06,Visit07,Visit08,Visit09,Visit10,Visit11,Visit12,Visit13,Visit14,Visit15,Visit16,Visit17,Visit18,Visit19,Visit20,Visit21,Visit22,Visit23,Visit24,Visit25,Visit26,Visit27,Visit28,Visit29,Visit30,Visit31,Visit32,Visit33,Visit34,Visit35,Visit36,Visit37,Visit38,Visit39,Visit40,Visit41,Visit42,Visit43,Visit44,Visit45,Visit46,Visit47,Visit48,Visit49,Visit50,Visit51,Visit52,Visit53,Visit54,Visit55,Visit56,Visit57,Visit58,Visit59,Visit60,NumDistinctArms,RowRelativeNumber,TotalArms,NumSame,NumReward,NumRevisited,NumTurnsL1,NumTurnsL2,NumTurnsL3,NumTurnsR1,NumTurnsR2,NumTurnsR3,NumTurns4,NumReentries0,Total1s,Total 2s,Total 3s,Prop 1s,Prop 2s,Prop 3s,PropO4,PropOS,FirstMistake,NumSwitches,TotalL,TotalR,TotalLorR,Change direction prop,Proportion R,Prop R bias,Prop side bias,Num not reach feeder 9,Num reach feeder 9,Season,New or Used floor,EmergenceDate,AgeDays,AgeRelativeToColony
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,1,6,1,8,4,6,1,4,2,4,7,4,1,3,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,15,0,8,7,0,3,4,1,1,4,1,0,1,4,8,0.0714285714,0.2857142857,0.5714285714,0.0714285714,0,5,7,7,6,13,0.5833333333,0.4615384615,-0.038461538,0.0384615385,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,1,5.352109,11.508009,10.290444,9.876525,9.938696,10.079538,10.141617,10.208972,9.997361,11.72825,9.630407,10.048936,11.329106,10.504223,9.649657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,1,Reward,Reward,Reward,Reward,Previsited,Previsited,Previsited,Reward,Previsited,Reward,Previsited,Previsited,Reward,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,1,,L3,R1,O4,L2,L3,L3,R2,L2,L3,R3,R3,L2,R3,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,2,1,8,3,3,4,7,5,8,7,3,8,4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,14,1,8,5,1,1,3,2,1,1,3,1,3,2,4,0.2307692308,0.1538461538,0.3076923077,0.2307692308,0.0769230769,4,5,5,4,9,0.625,0.4444444444,-0.055555556,0.0555555556,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,2,11.5897,10.725575,11.39483,11.327385,10.896072,9.954785,9.796048,11.609211,10.052718,9.854317,9.942853,10.084719,9.912223,10.133926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,2,Reward,Reward,Reward,Same,Reward,Reward,Reward,Previsited,Previsited,Previsited,Previsited,Previsited,Reward,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,2,,R1,L3,S0,L1,L3,R2,L3,R1,O4,R3,O4,L2,O4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,3,4,3,5,2,6,4,8,1,6,2,5,2,8,6,3,5,8,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,19,0,8,11,1,2,3,1,3,4,4,0,2,5,7,0.1111111111,0.2777777778,0.3888888889,0.2222222222,0,6,7,6,8,14,0.5384615385,0.5714285714,0.0714285714,0.0714285714,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,3,10.031715,10.052718,11.421793,10.130232,11.168208,10.255854,10.328335,11.560213,10.417183,9.987451,10.001396,10.668028,10.070715,9.878183,10.08412,9.840777,9.878183,11.37401,10.033153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,3,Reward,Reward,Reward,Reward,Reward,Previsited,Reward,Reward,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,3,,R1,L2,R3,O4,R2,O4,L1,R3,O4,L3,R3,R2,R2,R3,L2,L3,O4,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,4,8,4,4,1,6,5,1,2,7,4,5,7,1,4,7,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,17,1,8,8,3,2,3,1,0,4,2,1,4,2,7,0.25,0.125,0.4375,0.125,0.0625,3,3,8,5,13,0.25,0.3846153846,-0.115384615,0.1153846154,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,4,10.625369,9.718295,4.344225,11.096875,10.030977,9.972471,10.46736,11.08378,10.104396,10.603534,10.389809,10.250873,10.474434,10.711008,11.199407,10.594633,9.613511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,4,Reward,Reward,Same,Reward,Reward,Reward,Previsited,Reward,Reward,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,4,,O4,S0,R3,R3,R1,O4,L1,R3,R3,L1,L2,L2,L3,L3,L1,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,5,8,1,3,5,3,7,5,3,8,6,8,5,2,3,7,5,2,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,19,0,8,11,2,3,0,0,5,6,2,0,2,8,6,0.1111111111,0.4444444444,0.3333333333,0.1111111111,0,5,5,5,11,16,0.3333333333,0.6875,0.1875,0.1875,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,5,11.314575,10.100247,10.112726,11.240529,10.082554,10.120664,9.571285,9.71059,10.331278,10.999537,11.354559,9.551591,10.030452,9.986358,9.681661,9.510955,10.126845,11.077922,9.996347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,5,Reward,Reward,Reward,Reward,Previsited,Reward,Previsited,Previsited,Previsited,Reward,Previsited,Previsited,Reward,Previsited,Previsited,Previsited,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,5,,L1,L2,L2,R2,O4,R2,R2,R3,R2,L2,R3,R3,L1,O4,R2,R3,R3,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,6,4,1,6,1,3,7,1,2,8,4,7,4,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,14,0,8,6,1,2,3,0,2,3,2,0,1,4,6,0.0769230769,0.3076923077,0.4615384615,0.1538461538,0,4,5,6,5,11,0.5,0.4545454545,-0.045454545,0.0454545455,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,6,10.12902,9.685788,10.306721,9.594453,11.129762,11.899976,11.193888,10.003852,10.16964,11.084906,10.158229,10.603332,11.00634,10.053299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,6,Reward,Reward,Reward,Previsited,Reward,Reward,Previsited,Reward,Reward,Previsited,Previsited,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,6,,R3,R3,L3,L2,O4,L2,L1,R2,O4,L3,R3,R2,L3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,7,3,1,4,1,5,3,8,6,5,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,12,0,8,4,1,0,1,1,3,3,2,0,2,3,4,0.1818181818,0.2727272727,0.3636363636,0.1818181818,0,4,4,2,7,9,0.5,0.7777777778,0.2777777778,0.2777777778,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,7,11.058444,10.299381,9.930691,9.882918,11.507721,9.833327,11.405859,9.94981,10.139926,9.96283,10.565228,10.071083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,7,Reward,Reward,Reward,Previsited,Reward,Previsited,Reward,Reward,Previsited,Previsited,Reward,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,7,,R2,L3,R3,O4,R2,R3,R2,R1,O4,L1,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,8,5,1,6,2,7,3,7,8,2,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,11,0,8,3,1,1,0,0,0,4,4,0,1,1,4,0.1,0.1,0.4,0.4,0,7,2,2,4,6,0.4,0.6666666667,0.1666666667,0.1666666667,,,Summer,New,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,8,9.916646,10.31211,11.434517,10.00915,5.068992,9.733627,10.312148,11.453951,4.610152,4.810728,9.757769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,Summer,New,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,8,Reward,Reward,Reward,Reward,Reward,Reward,Previsited,Reward,Previsited,Previsited,Reward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,New,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,8,,O4,R3,O4,R3,O4,O4,L1,L2,R3,R3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Four,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Summer,New,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,9,1,4,6,2,8,7,2,7,3,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,One,11,0,8,3,0,1,2,1,2,1,3,0,1,3,3,0.1,0.3,0.3,0.3,0,7,3,3,4,7,0.5,0.5714285714,0.0714285714,0.0714285714,,,Summer,Used,,,
OdorControl,OdorControl_Outdoors,2022-11-08,ColonyOutdoorsBee1,9,10.500437,10.868237,8.300948,10.31504,9.922208,9.843392,10.177917,11.309733,10.358412,11.196535,9.82714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,Summer,Used,,,
