Treatment,Colony,BeeID,Trial,n1Switch,nTotalSwitch
Ratio1,Colony1_867,Colony1_867Rep1,1,3,25
Ratio1,Colony1_867,Colony1_867Rep1,2,4,20
Ratio1,Colony1_867,Colony1_867Rep1,3,3,12
Ratio1,Colony1_867,Colony1_867Rep1,4,2,13
Ratio1,Colony1_867,Colony1_867Rep1,5,4,15
Ratio1,Colony1_867,Colony1_867Rep1,6,6,17
Ratio1,Colony1_867,Colony1_867Rep1,7,5,12
Ratio1,Colony1_867,Colony1_867Rep1,8,4,14
Ratio1,Colony1_867,Colony1_867Rep2,1,0,25
Ratio1,Colony1_867,Colony1_867Rep2,2,3,19
Ratio1,Colony1_867,Colony1_867Rep2,3,3,21
Ratio1,Colony1_867,Colony1_867Rep2,4,4,12
Ratio1,Colony1_867,Colony1_867Rep2,5,3,15
Ratio1,Colony1_867,Colony1_867Rep2,6,9,25
Ratio1,Colony1_867,Colony1_867Rep2,7,6,9
Ratio1,Colony1_867,Colony1_867Rep2,8,7,7
Ratio1,Colony1_867,Colony1_867Rep3,1,7,21
Ratio1,Colony1_867,Colony1_867Rep3,2,8,25
Ratio1,Colony1_867,Colony1_867Rep3,3,6,33
Ratio1,Colony1_867,Colony1_867Rep3,4,8,25
Ratio1,Colony1_867,Colony1_867Rep3,5,0,13
Ratio1,Colony1_867,Colony1_867Rep3,6,6,15
Ratio1,Colony1_867,Colony1_867Rep3,7,7,17
Ratio1,Colony1_867,Colony1_867Rep3,8,8,15
Ratio1,Colony1_867,Colony1_867Rep4,1,6,25
Ratio1,Colony1_867,Colony1_867Rep4,2,10,19
Ratio1,Colony1_867,Colony1_867Rep4,3,4,11
Ratio1,Colony1_867,Colony1_867Rep4,4,7,15
Ratio1,Colony1_867,Colony1_867Rep4,5,6,11
Ratio1,Colony1_867,Colony1_867Rep4,6,16,21
Ratio1,Colony1_867,Colony1_867Rep4,7,15,20
Ratio1,Colony1_867,Colony1_867Rep4,8,6,9
Ratio1,Colony1_867,Colony1_867Rep5,1,7,32
Ratio1,Colony1_867,Colony1_867Rep5,2,11,27
Ratio1,Colony1_867,Colony1_867Rep5,3,4,12
Ratio1,Colony1_867,Colony1_867Rep5,4,4,13
