Treatment,Colony,BeeID,Trial,Num not reach feeder 9,Num reach feeder 9,NumDistinctArms
Balanced,Balanced_Colony01,1Rep1,1,2,24,8
Balanced,Balanced_Colony01,1Rep1,2,3,18,7
Balanced,Balanced_Colony01,1Rep1,3,1,12,8
Balanced,Balanced_Colony01,1Rep1,4,2,12,8
Balanced,Balanced_Colony01,1Rep1,5,0,16,8
Balanced,Balanced_Colony01,1Rep1,6,1,17,8
Balanced,Balanced_Colony01,1Rep1,7,2,11,8
Balanced,Balanced_Colony01,1Rep1,8,2,13,8
Balanced,Balanced_Colony01,1Rep2,1,5,21,8
Balanced,Balanced_Colony01,1Rep2,2,3,17,8
Balanced,Balanced_Colony01,1Rep2,3,4,18,8
Balanced,Balanced_Colony01,1Rep2,4,1,12,8
Balanced,Balanced_Colony01,1Rep2,5,1,15,8
Balanced,Balanced_Colony01,1Rep2,6,5,21,8
Balanced,Balanced_Colony01,1Rep2,7,0,10,8
Balanced,Balanced_Colony01,1Rep2,8,0,8,8
Balanced,Balanced_Colony01,1Rep3,1,1,21,8
Balanced,Balanced_Colony01,1Rep3,2,3,23,8
Balanced,Balanced_Colony01,1Rep3,3,4,30,8
Balanced,Balanced_Colony01,1Rep3,4,6,20,8
Balanced,Balanced_Colony01,1Rep3,5,1,13,8
Balanced,Balanced_Colony01,1Rep3,6,3,13,8
Balanced,Balanced_Colony01,1Rep3,7,2,16,8
Balanced,Balanced_Colony01,1Rep3,8,1,15,8
Balanced,Balanced_Colony01,1Rep4,1,6,20,8
Balanced,Balanced_Colony01,1Rep4,2,2,18,8
Balanced,Balanced_Colony01,1Rep4,3,2,10,8
Balanced,Balanced_Colony01,1Rep4,4,6,10,8
Balanced,Balanced_Colony01,1Rep4,5,2,10,8
Balanced,Balanced_Colony01,1Rep4,6,4,18,8
Balanced,Balanced_Colony01,1Rep4,7,3,18,8
Balanced,Balanced_Colony01,1Rep4,8,1,9,8
Balanced,Balanced_Colony01,1Rep5,1,11,22,8
Balanced,Balanced_Colony01,1Rep5,2,5,23,8
Balanced,Balanced_Colony01,1Rep5,3,2,11,8
Balanced,Balanced_Colony01,1Rep5,4,5,9,8
Balanced,Balanced_Colony01,1Rep5,5,5,16,8
Balanced,Balanced_Colony01,1Rep5,6,2,16,8
Balanced,Balanced_Colony01,1Rep5,7,4,16,8
Balanced,Balanced_Colony01,1Rep5,8,4,16,8
Balanced,Balanced_Colony01,1Rep6,1,7,15,8
Balanced,Balanced_Colony01,1Rep6,2,1,14,8
Balanced,Balanced_Colony01,1Rep6,3,2,15,7
Balanced,Balanced_Colony01,1Rep6,4,6,26,8
Balanced,Balanced_Colony01,1Rep6,5,2,12,8
Balanced,Balanced_Colony01,1Rep6,6,1,8,8
Balanced,Balanced_Colony01,1Rep6,7,4,20,8
Balanced,Balanced_Colony01,1Rep6,8,3,15,8
Balanced,Balanced_Colony02,2Rep1,1,2,17,8
Balanced,Balanced_Colony02,2Rep1,2,4,12,8
Balanced,Balanced_Colony02,2Rep1,3,1,11,8
Balanced,Balanced_Colony02,2Rep1,4,5,21,8
Balanced,Balanced_Colony02,2Rep1,5,3,14,8
Balanced,Balanced_Colony02,2Rep1,6,0,11,8
Balanced,Balanced_Colony02,2Rep1,7,1,11,8
Balanced,Balanced_Colony02,2Rep1,8,1,13,8
Balanced,Balanced_Colony02,2Rep2,1,1,12,8
Balanced,Balanced_Colony02,2Rep2,2,3,21,8
Balanced,Balanced_Colony02,2Rep2,3,0,15,8
Balanced,Balanced_Colony02,2Rep2,4,0,13,8
Balanced,Balanced_Colony02,2Rep2,5,1,12,8
Balanced,Balanced_Colony02,2Rep2,6,0,15,8
Balanced,Balanced_Colony02,2Rep2,7,0,10,8
Balanced,Balanced_Colony02,2Rep2,8,0,10,8
Balanced,Balanced_Colony02,2Rep3,1,0,22,8
Balanced,Balanced_Colony02,2Rep3,2,1,15,8
Balanced,Balanced_Colony02,2Rep3,3,1,15,8
Balanced,Balanced_Colony02,2Rep3,4,0,12,8
Balanced,Balanced_Colony02,2Rep3,5,2,19,8
Balanced,Balanced_Colony02,2Rep3,6,0,16,8
Balanced,Balanced_Colony02,2Rep3,7,1,9,8
Balanced,Balanced_Colony02,2Rep3,8,0,19,8
Balanced,Balanced_Colony02,2Rep4,1,1,17,8
Balanced,Balanced_Colony02,2Rep4,2,1,15,8
Balanced,Balanced_Colony02,2Rep4,3,0,16,8
Balanced,Balanced_Colony02,2Rep4,4,1,18,8
Balanced,Balanced_Colony02,2Rep4,5,0,11,8
Balanced,Balanced_Colony02,2Rep4,6,0,14,8
Balanced,Balanced_Colony02,2Rep4,7,0,21,8
Balanced,Balanced_Colony02,2Rep4,8,0,20,8
Balanced,Balanced_Colony02,2Rep5,1,0,18,8
Balanced,Balanced_Colony02,2Rep5,2,2,25,8
Balanced,Balanced_Colony02,2Rep5,3,0,12,8
Balanced,Balanced_Colony02,2Rep5,4,2,19,8
Balanced,Balanced_Colony02,2Rep5,5,4,22,8
Balanced,Balanced_Colony02,2Rep5,6,1,22,8
Balanced,Balanced_Colony02,2Rep5,7,0,12,8
Balanced,Balanced_Colony02,2Rep5,8,1,23,8
Balanced,Balanced_Colony02,2Rep6,1,0,14,8
Balanced,Balanced_Colony02,2Rep6,2,1,17,8
Balanced,Balanced_Colony02,2Rep6,3,0,16,8
Balanced,Balanced_Colony02,2Rep6,4,5,12,8
Balanced,Balanced_Colony02,2Rep6,5,2,15,8
Balanced,Balanced_Colony02,2Rep6,6,0,11,8
Balanced,Balanced_Colony02,2Rep6,7,3,24,8
Balanced,Balanced_Colony02,2Rep6,8,1,17,8
Balanced,Balanced_Colony03,3Rep1,1,0,13,8
Balanced,Balanced_Colony03,3Rep1,2,1,9,8
Balanced,Balanced_Colony03,3Rep1,3,0,26,8
Balanced,Balanced_Colony03,3Rep1,4,4,17,8
Balanced,Balanced_Colony03,3Rep1,5,4,37,8
Balanced,Balanced_Colony03,3Rep1,6,1,22,8
Balanced,Balanced_Colony03,3Rep1,7,2,16,8
Balanced,Balanced_Colony03,3Rep1,8,5,23,8
Balanced,Balanced_Colony03,3Rep2,1,2,24,8
Balanced,Balanced_Colony03,3Rep2,2,1,9,8
Balanced,Balanced_Colony03,3Rep2,3,1,17,8
Balanced,Balanced_Colony03,3Rep2,4,0,8,8
Balanced,Balanced_Colony03,3Rep2,5,1,17,8
Balanced,Balanced_Colony03,3Rep2,6,1,20,8
Balanced,Balanced_Colony03,3Rep2,7,6,31,8
Balanced,Balanced_Colony03,3Rep2,8,5,8,8
Balanced,Balanced_Colony03,3Rep3,1,1,17,8
Balanced,Balanced_Colony03,3Rep3,2,0,18,8
Balanced,Balanced_Colony03,3Rep3,3,0,11,8
Balanced,Balanced_Colony03,3Rep3,4,0,16,8
Balanced,Balanced_Colony03,3Rep3,5,0,28,8
Balanced,Balanced_Colony03,3Rep3,6,1,27,8
Balanced,Balanced_Colony03,3Rep3,7,1,14,8
Balanced,Balanced_Colony03,3Rep3,8,2,11,8
Balanced,Balanced_Colony03,3Rep4,1,2,28,8
Balanced,Balanced_Colony03,3Rep4,2,1,16,8
Balanced,Balanced_Colony03,3Rep4,3,2,26,8
Balanced,Balanced_Colony03,3Rep4,4,1,16,8
Balanced,Balanced_Colony03,3Rep4,5,1,14,8
Balanced,Balanced_Colony03,3Rep4,6,3,15,8
Balanced,Balanced_Colony03,3Rep4,7,3,17,8
Balanced,Balanced_Colony03,3Rep4,8,1,11,8
Balanced,Balanced_Colony03,3Rep5,1,0,10,8
Balanced,Balanced_Colony03,3Rep5,2,0,22,8
Balanced,Balanced_Colony03,3Rep5,3,0,19,8
Balanced,Balanced_Colony03,3Rep5,4,0,17,8
Balanced,Balanced_Colony03,3Rep5,5,1,17,8
Balanced,Balanced_Colony03,3Rep5,6,3,30,8
Balanced,Balanced_Colony03,3Rep5,7,1,19,8
Balanced,Balanced_Colony03,3Rep5,8,1,11,8
Balanced,Balanced_Colony03,3Rep6,1,2,10,8
Balanced,Balanced_Colony03,3Rep6,2,3,22,8
Balanced,Balanced_Colony03,3Rep6,3,0,12,8
Balanced,Balanced_Colony03,3Rep6,4,0,16,8
Balanced,Balanced_Colony03,3Rep6,5,4,12,8
Balanced,Balanced_Colony03,3Rep6,6,0,8,8
Balanced,Balanced_Colony03,3Rep6,7,1,11,8
