Treatment,Colony,BeeID,Trial,nL,nR,nSwitch
Ratio1,Colony1_867,Colony1_867Rep1,1,5,14,4
Ratio1,Colony1_867,Colony1_867Rep1,2,6,10,6
Ratio1,Colony1_867,Colony1_867Rep1,3,3,6,5
Ratio1,Colony1_867,Colony1_867Rep1,4,4,5,7
Ratio1,Colony1_867,Colony1_867Rep1,5,4,7,6
Ratio1,Colony1_867,Colony1_867Rep1,6,6,7,5
Ratio1,Colony1_867,Colony1_867Rep1,7,5,7,5
Ratio1,Colony1_867,Colony1_867Rep1,8,5,6,5
Ratio1,Colony1_867,Colony1_867Rep2,1,2,18,4
Ratio1,Colony1_867,Colony1_867Rep2,2,2,14,4
Ratio1,Colony1_867,Colony1_867Rep2,3,3,14,6
Ratio1,Colony1_867,Colony1_867Rep2,4,0,9,0
Ratio1,Colony1_867,Colony1_867Rep2,5,1,11,1
Ratio1,Colony1_867,Colony1_867Rep2,6,1,21,2
Ratio1,Colony1_867,Colony1_867Rep2,7,0,9,0
Ratio1,Colony1_867,Colony1_867Rep2,8,0,7,0
Ratio1,Colony1_867,Colony1_867Rep3,1,12,4,3
Ratio1,Colony1_867,Colony1_867Rep3,2,8,12,7
Ratio1,Colony1_867,Colony1_867Rep3,3,15,10,14
Ratio1,Colony1_867,Colony1_867Rep3,4,11,9,12
Ratio1,Colony1_867,Colony1_867Rep3,5,6,3,5
Ratio1,Colony1_867,Colony1_867Rep3,6,8,5,3
Ratio1,Colony1_867,Colony1_867Rep3,7,7,7,5
Ratio1,Colony1_867,Colony1_867Rep3,8,10,2,2
Ratio1,Colony1_867,Colony1_867Rep4,1,11,10,7
Ratio1,Colony1_867,Colony1_867Rep4,2,2,15,4
Ratio1,Colony1_867,Colony1_867Rep4,3,3,7,5
Ratio1,Colony1_867,Colony1_867Rep4,4,6,8,4
Ratio1,Colony1_867,Colony1_867Rep4,5,2,8,4
Ratio1,Colony1_867,Colony1_867Rep4,6,9,11,2
Ratio1,Colony1_867,Colony1_867Rep4,7,13,7,9
Ratio1,Colony1_867,Colony1_867Rep4,8,4,5,3
Ratio1,Colony1_867,Colony1_867Rep5,1,6,15,10
Ratio1,Colony1_867,Colony1_867Rep5,2,7,16,9
Ratio1,Colony1_867,Colony1_867Rep5,3,1,8,2
Ratio1,Colony1_867,Colony1_867Rep5,4,3,6,5
Ratio1,Colony1_867,Colony1_867Rep5,5,10,6,8
Ratio1,Colony1_867,Colony1_867Rep5,6,4,8,6
Ratio1,Colony1_867,Colony1_867Rep5,7,5,11,5
Ratio1,Colony1_867,Colony1_867Rep5,8,1,13,2
Ratio1,Colony1_867,Colony1_867Rep6,1,9,9,6
Ratio1,Colony1_867,Colony1_867Rep6,2,5,9,8
Ratio1,Colony1_867,Colony1_867Rep6,3,3,10,4
Ratio1,Colony1_867,Colony1_867Rep6,4,6,20,10
Ratio1,Colony1_867,Colony1_867Rep6,5,3,9,2
Ratio1,Colony1_867,Colony1_867Rep6,6,1,7,2
Ratio1,Colony1_867,Colony1_867Rep6,7,1,20,2
Ratio1,Colony1_867,Colony1_867Rep6,8,2,14,3
Ratio1,Colony2_39,Colony2_39Rep1,1,16,1,2
Ratio1,Colony2_39,Colony2_39Rep1,2,11,3,3
Ratio1,Colony2_39,Colony2_39Rep1,3,9,1,2
Ratio1,Colony2_39,Colony2_39Rep1,4,18,5,8
Ratio1,Colony2_39,Colony2_39Rep1,5,12,2,4
Ratio1,Colony2_39,Colony2_39Rep1,6,5,5,3
Ratio1,Colony2_39,Colony2_39Rep1,7,10,0,0
Ratio1,Colony2_39,Colony2_39Rep1,8,12,0,0
Ratio1,Colony2_39,Colony2_39Rep2,1,8,3,6
Ratio1,Colony2_39,Colony2_39Rep2,2,10,7,7
Ratio1,Colony2_39,Colony2_39Rep2,3,10,3,3
Ratio1,Colony2_39,Colony2_39Rep2,4,8,3,4
Ratio1,Colony2_39,Colony2_39Rep2,5,7,2,2
Ratio1,Colony2_39,Colony2_39Rep2,6,10,3,4
Ratio1,Colony2_39,Colony2_39Rep2,7,7,1,1
Ratio1,Colony2_39,Colony2_39Rep2,8,4,3,1
Ratio1,Colony2_39,Colony2_39Rep3,1,11,7,13
Ratio1,Colony2_39,Colony2_39Rep3,2,9,6,4
Ratio1,Colony2_39,Colony2_39Rep3,3,7,5,3
Ratio1,Colony2_39,Colony2_39Rep3,4,4,6,3
Ratio1,Colony2_39,Colony2_39Rep3,5,11,6,4
Ratio1,Colony2_39,Colony2_39Rep3,6,12,2,2
Ratio1,Colony2_39,Colony2_39Rep3,7,4,4,4
Ratio1,Colony2_39,Colony2_39Rep3,8,13,2,2
Ratio1,Colony2_39,Colony2_39Rep4,1,9,6,9
Ratio1,Colony2_39,Colony2_39Rep4,2,7,6,6
Ratio1,Colony2_39,Colony2_39Rep4,3,13,2,3
Ratio1,Colony2_39,Colony2_39Rep4,4,12,5,7
Ratio1,Colony2_39,Colony2_39Rep4,5,6,4,5
Ratio1,Colony2_39,Colony2_39Rep4,6,10,1,2
Ratio1,Colony2_39,Colony2_39Rep4,7,16,4,6
Ratio1,Colony2_39,Colony2_39Rep4,8,11,6,6
Ratio1,Colony2_39,Colony2_39Rep5,1,13,3,6
Ratio1,Colony2_39,Colony2_39Rep5,2,14,5,10
Ratio1,Colony2_39,Colony2_39Rep5,3,7,3,5
Ratio1,Colony2_39,Colony2_39Rep5,4,13,3,6
Ratio1,Colony2_39,Colony2_39Rep5,5,12,8,9
Ratio1,Colony2_39,Colony2_39Rep5,6,12,4,4
Ratio1,Colony2_39,Colony2_39Rep5,7,10,0,0
Ratio1,Colony2_39,Colony2_39Rep5,8,19,2,4
Ratio1,Colony2_39,Colony2_39Rep6,1,1,11,2
Ratio1,Colony2_39,Colony2_39Rep6,2,4,9,5
Ratio1,Colony2_39,Colony2_39Rep6,3,2,12,4
Ratio1,Colony2_39,Colony2_39Rep6,4,8,6,5
Ratio1,Colony2_39,Colony2_39Rep6,5,2,13,3
Ratio1,Colony2_39,Colony2_39Rep6,6,2,6,4
Ratio1,Colony2_39,Colony2_39Rep6,7,5,18,5
Ratio1,Colony2_39,Colony2_39Rep6,8,3,14,4
Ratio1,Colony3_807,Colony3_807Rep1,1,5,5,3
Ratio1,Colony3_807,Colony3_807Rep1,2,2,6,4
Ratio1,Colony3_807,Colony3_807Rep1,3,12,11,12
Ratio1,Colony3_807,Colony3_807Rep1,4,9,8,6
Ratio1,Colony3_807,Colony3_807Rep1,5,22,16,17
Ratio1,Colony3_807,Colony3_807Rep1,6,9,11,11
Ratio1,Colony3_807,Colony3_807Rep1,7,10,5,1
Ratio1,Colony3_807,Colony3_807Rep1,8,16,5,6
Ratio1,Colony3_807,Colony3_807Rep2,1,8,11,8
Ratio1,Colony3_807,Colony3_807Rep2,2,2,4,1
Ratio1,Colony3_807,Colony3_807Rep2,3,1,11,2
Ratio1,Colony3_807,Colony3_807Rep2,4,1,5,2
Ratio1,Colony3_807,Colony3_807Rep2,5,6,6,4
Ratio1,Colony3_807,Colony3_807Rep2,6,8,8,8
Ratio1,Colony3_807,Colony3_807Rep2,7,11,23,16
Ratio1,Colony3_807,Colony3_807Rep2,8,3,6,3
Ratio1,Colony3_807,Colony3_807Rep3,1,7,5,6
Ratio1,Colony3_807,Colony3_807Rep3,2,4,11,1
Ratio1,Colony3_807,Colony3_807Rep3,3,0,7,0
Ratio1,Colony3_807,Colony3_807Rep3,4,6,7,11
Ratio1,Colony3_807,Colony3_807Rep3,5,1,21,2
Ratio1,Colony3_807,Colony3_807Rep3,6,4,19,8
Ratio1,Colony3_807,Colony3_807Rep3,7,1,11,2
Ratio1,Colony3_807,Colony3_807Rep3,8,0,10,0
Ratio1,Colony3_807,Colony3_807Rep4,1,7,19,8
Ratio1,Colony3_807,Colony3_807Rep4,2,2,10,4
Ratio1,Colony3_807,Colony3_807Rep4,3,8,12,9
Ratio1,Colony3_807,Colony3_807Rep4,4,2,13,2
Ratio1,Colony3_807,Colony3_807Rep4,5,4,8,1
Ratio1,Colony3_807,Colony3_807Rep4,6,2,11,3
Ratio1,Colony3_807,Colony3_807Rep4,7,0,16,0
Ratio1,Colony3_807,Colony3_807Rep4,8,2,9,2
Ratio1,Colony3_807,Colony3_807Rep5,1,6,1,2
Ratio1,Colony3_807,Colony3_807Rep5,2,8,8,11
Ratio1,Colony3_807,Colony3_807Rep5,3,3,9,5
Ratio1,Colony3_807,Colony3_807Rep5,4,7,6,9
Ratio1,Colony3_807,Colony3_807Rep5,5,14,2,3
Ratio1,Colony3_807,Colony3_807Rep5,6,22,3,4
Ratio1,Colony3_807,Colony3_807Rep5,7,7,8,4
Ratio1,Colony3_807,Colony3_807Rep5,8,5,2,2
Ratio1,Colony3_807,Colony3_807Rep6,1,2,5,3
Ratio1,Colony3_807,Colony3_807Rep6,2,4,17,6
Ratio1,Colony3_807,Colony3_807Rep6,3,0,11,0
Ratio1,Colony3_807,Colony3_807Rep6,4,0,15,0
Ratio1,Colony3_807,Colony3_807Rep6,5,0,13,0
Ratio1,Colony3_807,Colony3_807Rep6,6,0,7,0
Ratio1,Colony3_807,Colony3_807Rep6,7,0,10,0
Ratio1,Colony3_807,Colony3_807Rep6,8,1,12,1
Ratio1,Colony4_42,Colony4_42Rep1,1,10,8,9
Ratio1,Colony4_42,Colony4_42Rep1,2,8,11,10
Ratio1,Colony4_42,Colony4_42Rep1,3,15,9,13
Ratio1,Colony4_42,Colony4_42Rep1,4,14,14,15
Ratio1,Colony4_42,Colony4_42Rep1,5,8,5,7
Ratio1,Colony4_42,Colony4_42Rep1,6,6,3,4
Ratio1,Colony4_42,Colony4_42Rep1,7,5,6,6
Ratio1,Colony4_42,Colony4_42Rep1,8,8,7,5
Ratio1,Colony4_42,Colony4_42Rep2,1,6,15,8
Ratio1,Colony4_42,Colony4_42Rep2,2,0,19,0
Ratio1,Colony4_42,Colony4_42Rep2,3,5,19,6
Ratio1,Colony4_42,Colony4_42Rep2,4,0,9,0
Ratio1,Colony4_42,Colony4_42Rep2,5,0,10,0
Ratio1,Colony4_42,Colony4_42Rep2,6,0,7,0
Ratio1,Colony4_42,Colony4_42Rep2,7,0,8,0
Ratio1,Colony4_42,Colony4_42Rep2,8,0,9,0
Ratio1,Colony4_42,Colony4_42Rep3,1,1,14,1
Ratio1,Colony4_42,Colony4_42Rep3,2,1,9,1
Ratio1,Colony4_42,Colony4_42Rep3,3,0,10,0
Ratio1,Colony4_42,Colony4_42Rep3,4,2,22,4
Ratio1,Colony4_42,Colony4_42Rep3,5,0,11,0
Ratio1,Colony4_42,Colony4_42Rep3,6,0,12,0
Ratio1,Colony4_42,Colony4_42Rep3,7,1,14,2
Ratio1,Colony4_42,Colony4_42Rep3,8,0,9,0
Ratio1,Colony4_42,Colony4_42Rep4,1,3,8,4
Ratio1,Colony4_42,Colony4_42Rep4,2,13,17,13
Ratio1,Colony4_42,Colony4_42Rep4,3,14,9,10
Ratio1,Colony4_42,Colony4_42Rep4,4,8,10,6
Ratio1,Colony4_42,Colony4_42Rep4,5,7,6,5
Ratio1,Colony4_42,Colony4_42Rep4,6,8,1,2
Ratio1,Colony4_42,Colony4_42Rep4,7,19,6,11
Ratio1,Colony4_42,Colony4_42Rep4,8,14,6,6
Ratio1,Colony4_42,Colony4_42Rep5,1,16,4,4
Ratio1,Colony4_42,Colony4_42Rep5,2,13,4,4
Ratio1,Colony4_42,Colony4_42Rep5,3,6,4,5
Ratio1,Colony4_42,Colony4_42Rep5,4,9,2,2
Ratio1,Colony4_42,Colony4_42Rep5,5,4,4,5
Ratio1,Colony4_42,Colony4_42Rep5,6,10,1,1
Ratio1,Colony4_42,Colony4_42Rep5,7,17,1,2
Ratio1,Colony4_42,Colony4_42Rep5,8,14,2,3
Ratio1,Colony4_42,Colony4_42Rep6,1,10,1,2
Ratio1,Colony4_42,Colony4_42Rep6,2,9,1,2
Ratio1,Colony4_42,Colony4_42Rep6,3,17,4,6
