p1,p_flip,p0_same,p1_uncond,p2_uncond,p3_uncond,p4_uncond,mean_visits,sem_visits,mean_first_mistake_or_9,sem_first_mistake_or_9,prop_complete,prop_perfect,n_sims,log10_mean_visits
0.25,0.0,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,18.823,0.082059547562537,5.07775,0.01605444908286856,1.0,0.008875,8000,1.2746888422375584
0.25,0.01,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.011625,0.08510580389817146,5.0695,0.016127150379791882,1.0,0.007625,8000,1.279019239346848
0.25,0.02,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,18.748375,0.08361803172357946,5.084625,0.016070049221521467,1.0,0.007875,8000,1.2729636315775281
0.25,0.03,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,18.9725,0.08371081266042955,5.072125,0.016028996822610806,1.0,0.008125,8000,1.278124561498471
0.25,0.04,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,18.9455,0.08424842546540069,5.07425,0.016077917452711404,1.0,0.007375,8000,1.2775060714413369
0.25,0.05,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,18.98225,0.08364932915732833,5.037125,0.016014654240434918,1.0,0.008125,8000,1.2783476888430958
0.25,0.06,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,18.9215,0.08427925363233886,5.03775,0.016161629465213937,1.0,0.008125,8000,1.2769555620816664
0.25,0.07,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,18.89375,0.08333547094291337,5.056125,0.01629988754067355,1.0,0.0085,8000,1.2763181645218924
0.25,0.08,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.044875,0.08323951889868889,5.023125,0.01605010841223138,1.0,0.00675,8000,1.2797781265381365
0.25,0.09,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.06425,0.08617572758143979,5.015125,0.01605324710579467,1.0,0.00675,8000,1.2802197245182454
0.25,0.1,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,18.973375,0.08173019326866506,5.007375,0.016086016323565638,1.0,0.00725,8000,1.2781445904302975
0.25,0.11,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,18.97825,0.08455096525411863,5.0285,0.016083556940256757,1.0,0.006875,8000,1.2782561632871077
0.25,0.12,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.199,0.08587911141670142,4.998,0.016171956947875557,1.0,0.00575,8000,1.2832786086102137
0.25,0.13,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.134875,0.08416725748591886,4.992125,0.015898371546296905,1.0,0.007125,8000,1.281825629508647
0.25,0.14,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,18.913875,0.0808934493906408,4.984,0.016060440287170748,1.0,0.0065,8000,1.2767805144988504
0.25,0.15,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.001375,0.08462770302735881,4.9925,0.01599394243219337,1.0,0.00875,8000,1.27878502902157
0.25,0.16,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,18.9985,0.0840208733419538,4.972375,0.016109474597836897,1.0,0.006875,8000,1.278719313192881
0.25,0.17,0.0335,0.25,0.24441666666666667,0.23883333333333334,0.23325,19.20075,0.08398884119553128,4.97325,0.016215530290907137,1.0,0.0065,8000,1.2833181930004172
